Orginal Message: SBqAъ>'⸮x 

Packet Sent:#1#Round Trip Time#60259#Encryption Time Sender#66#Encryption Time Sender#51#Message:#⸮⸮⸮⸮D+8⸮G⸮⸮6/⸮⸮#89.40#  59#49736#49736#49736
Packet Sent:#149#Round Trip Time#263143#Encryption Time Sender#42#Encryption Time Sender#43#Message:#=k⸮⸮n⸮LDІ⸮⸮⸮⸮#96.58#  63#49232#49232#49232
Packet Sent:#150#Round Trip Time#266224#Encryption Time Sender#42#Encryption Time Sender#43#Message:#K ⸮Y⸮⸮⸮,$' ⸮{⸮P⸮#86.92#  63#49232#49232#49232
Packet Sent:#151#Round Trip Time#273334#Encryption Time Sender#50#Encryption Time Sender#44#Message:#⸮⸮⸮7W,⸮@	⸮⸮⸮6v⸮#86.76#  59#49232#49232#49232
Packet Sent:#152#Round Trip Time#303613#Encryption Time Sender#46#Encryption Time Sender#43#Message:#⸮U(<[1{⸮qg1!⸮⸮⸮#94.49#  63#49232#49232#49232
Packet Sent:#153#Round Trip Time#249063#Encryption Time Sender#42#Encryption Time Sender#43#Message:#y 9U`⸮⸮⸮k⸮⸮ ⸮?O⸮#99.37#  63#49232#49232#49232
Packet Sent:#154#Round Trip Time#288274#Encryption Time Sender#42#Encryption Time Sender#44#Message:#⸮⸮⸮߯⸮/"⸮͉KbH#101.8#  63#49232#49232#49232
Packet Sent:#155#Round Trip Time#282023#Encryption Time Sender#43#Encryption Time Sender#43#Message:#⸮⸮u⸮⸮ރ⸮?;⸮⸮⸮⸮⸮#98.46#  59#49232#49232#49232
Packet Sent:#156#Round Trip Time#293598#Encryption Time Sender#42#Encryption Time Sender#43#Message:#l⸮⸮{dy⸮⸮dʜra⸮#103.2#  63#49232#49232#49232
Packet Sent:#157#Round Trip Time#274789#Encryption Time Sender#50#Encryption Time Sender#43#Message:#}⸮⸮⸮⸮|⸮V⸮ML2!|#92.22#  63#49232#49232#49232
Packet Sent:#158#Round Trip Time#263105#Encryption Time Sender#46#Encryption Time Sender#44#Message:#L|(⸮⸮⸮ ⸮⸮⸮⸮⸮LP#85.48#  62#49232#49120#49120
Packet Sent:#159#Round Trip Time#275511#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮⸮⸮Ž⸮?F⸮⸮⸮⸮⸮#94.23#  63#49232#49232#49232
Packet Sent:#160#Round Trip Time#271109#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮#K⸮⸮䱖⸮⸮Y\e⸮d#84.92#  62#49232#49232#49232
Packet Sent:#161#Round Trip Time#273416#Encryption Time Sender#42#Encryption Time Sender#43#Message:#{u⸮⸮*-aucG⸮+7t#97.33#  63#49232#49232#49120
Packet Sent:#162#Round Trip Time#286142#Encryption Time Sender#50#Encryption Time Sender#43#Message:#<3⸮m⸮⸮K⸮ߵ;G⸮⸮#95.00#  63#49120#49232#49232
Packet Sent:#163#Round Trip Time#268947#Encryption Time Sender#47#Encryption Time Sender#43#Message:#⸮Za⸮:⸮к⸮Jr⸮ìg#96.40#  59#49232#49232#49232
Packet Sent:#164#Round Trip Time#278688#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮⸮ƺ⸮e⸮ ⸮{⸮!⸮ĥ#94.22#  63#49232#49232#49232
Packet Sent:#165#Round Trip Time#271815#Encryption Time Sender#43#Encryption Time Sender#44#Message:# x⸮IS⸮Mn动⸮q⸮f#90.75#  59#49232#49232#49232
Packet Sent:#166#Round Trip Time#280571#Encryption Time Sender#42#Encryption Time Sender#43#Message:#9⸮⸮K⸮]⸮%K⸮⸮]T#97.16#  63#49232#49232#49232
Packet Sent:#167#Round Trip Time#283061#Encryption Time Sender#50#Encryption Time Sender#43#Message:#⸮⸮⸮⸮b⸮,R⸮⸮⸮⸮⸮u#96.74#  63#49232#49232#49232
Packet Sent:#168#Round Trip Time#272482#Encryption Time Sender#46#Encryption Time Sender#43#Message:#⸮⸮L⸮^⸮TyL'c⸮jG#87.59#  58#49232#49232#49232
Packet Sent:#169#Round Trip Time#271764#Encryption Time Sender#43#Encryption Time Sender#47#Message:#.⸮⸮⸮ˏ⸮⸮b⸮f`⸮⸮#95.03#  63#49232#49232#49232
Packet Sent:#170#Round Trip Time#264453#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮DI⸮~uf⸮⸮⸮⸮{.⸮O#88.38#  63#49232#49232#49232
Packet Sent:#171#Round Trip Time#272277#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮*C⸮n⸮$⸮>⸮C⸮%c⸮⸮#91.20#  63#49232#49232#49232
Packet Sent:#172#Round Trip Time#271406#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮ANH⸮⸮⸮m⸮⸮p⸮⸮t⸮#91.02#  63#49232#49232#49232
Packet Sent:#173#Round Trip Time#276425#Encryption Time Sender#50#Encryption Time Sender#43#Message:#⸮1⸮⸮t#s.(⸮⸮⸮⸮#92.56#  59#49232#49232#49232
Packet Sent:#174#Round Trip Time#275518#Encryption Time Sender#46#Encryption Time Sender#44#Message:#⸮⸮⸮Ë<|j⸮Q⸮⸮#93.36#  59#49232#49120#49120
Packet Sent:#175#Round Trip Time#276853#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮⸮⸮	⸮⸮{⸮d:/Q⸮#94.43#  63#49232#49232#49232
Packet Sent:#176#Round Trip Time#282883#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮⸮]⸮⸮⸮⸮8⸮⸮⸮Ij⸮Y#98.70#  63#49232#49232#49232
Packet Sent:#177#Round Trip Time#284077#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮uV⸮⸮⸮wbB	#100.6#  63#49232#49232#49232
Packet Sent:#178#Round Trip Time#286474#Encryption Time Sender#50#Encryption Time Sender#43#Message:#⸮VB⸮Q' ⸮a⸮⸮⸮⸮yM#100.9#  59#49232#49232#49232
Packet Sent:#179#Round Trip Time#281135#Encryption Time Sender#47#Encryption Time Sender#43#Message:#Tam⸮e$o⸮⸮⸮5H⸮#98.08#  59#49232#49232#49232
Packet Sent:#180#Round Trip Time#266531#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮,Jk⸮a⸮⸮Q⸮⸮r⸮{⸮#84.88#  63#49232#49232#49232
Packet Sent:#181#Round Trip Time#257752#Encryption Time Sender#42#Encryption Time Sender#44#Message:#b⸮	⸮3Qs⸮pGa⸮Wu#84.21#  63#49232#49232#49232
Packet Sent:#182#Round Trip Time#260421#Encryption Time Sender#42#Encryption Time Sender#43#Message:#׋.HF⸮⸮⸮ â⸮#83.00#  63#49232#49232#49232
Packet Sent:#183#Round Trip Time#275032#Encryption Time Sender#42#Encryption Time Sender#43#Message:#]a⸮⸮⸮⸮⸮⸮⸮j⸮⸮Q⸮ӈ#90.98#  62#49232#49232#49232
Packet Sent:#184#Round Trip Time#275122#Encryption Time Sender#50#Encryption Time Sender#43#Message:#4L⸮y⸮k⸮⸮y[⸮⸮I#92.39#  59#49232#49232#49120
Packet Sent:#185#Round Trip Time#279381#Encryption Time Sender#46#Encryption Time Sender#43#Message:#I⸮z⸮d#⸮؍⸮⸮⸮ߕ#96.32#  63#49120#49232#49232
Packet Sent:#186#Round Trip Time#276201#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮,⸮eK&⸮⸮⸮#⸮"#96.36#  63#49232#49232#49232
Packet Sent:#187#Round Trip Time#313371#Encryption Time Sender#43#Encryption Time Sender#43#Message:#r5Ӆ⸮⸮⸮⸮Q⸮:Z⸮g%#99.81#  63#49232#49232#49232
Packet Sent:#188#Round Trip Time#256043#Encryption Time Sender#43#Encryption Time Sender#44#Message:#⸮ڤG⸮5D⸮⸮⸮⸮j⸮⸮⸮#96.23#  59#49232#49232#49232
Packet Sent:#189#Round Trip Time#285705#Encryption Time Sender#52#Encryption Time Sender#43#Message:#⸮"Y⸮6&|N⸮#]f⸮#101.3#  63#49232#49120#49120
Packet Sent:#190#Round Trip Time#278519#Encryption Time Sender#46#Encryption Time Sender#43#Message:#⸮?!%⸮I⸮*Q⸮4⸮6#93.91#  63#49232#49232#49232
Packet Sent:#191#Round Trip Time#270038#Encryption Time Sender#42#Encryption Time Sender#44#Message:#⸮⸮⸮B⸮⸮⸮<⸮⸮⸮p,⸮⸮#92.45#  59#49232#49232#49232
Packet Sent:#192#Round Trip Time#275893#Encryption Time Sender#42#Encryption Time Sender#44#Message:#P⸮a⸮⸮}PӤ⸮⸮C⸮#92.09#  63#49232#49232#49120
Packet Sent:#193#Round Trip Time#261000#Encryption Time Sender#42#Encryption Time Sender#43#Message:#⸮(⸮b⸮⸮⸮3⸮`#⸮#82.07#  58#49120#49232#49232
Packet Sent:#194#Round Trip Time#276332#Encryption Time Sender#50#Encryption Time Sender#44#Message:#⸮⸮+⸮⸮⸮<⸮⸮8⸮⸮⸮#95.94#  63#49232#49232#49232
Packet Sent:#195#Round Trip Time#291330#Encryption Time Sender#46#Encryption Time Sender#44#Message:#⸮@⸮⸮⸮⸮⸮.⸮m⸮*⸮⸮5P#99.20#  63#49232#49232#49232
Packet Sent:#196#Round Trip Time#284916#Encryption Time Sender#42#Encryption Time Sender#43#Message:#͗5⸮⸮:$7k⸮(⸮SC#101.0#  63#49232#49232#49232
Packet Sent:#197#Round Trip Time#278049#Encryption Time Sender#43#Encryption Time Sender#43#Message:#ϱ1⸮Y⸮޿E{S⸮ؽ⸮#97.72#  63#49232#49232#49232
Packet Sent:#198#Round Trip Time#277933#Encryption Time Sender#42#Encryption Time Sender#44#Message:#Q⸮⸮⸮⸮-oQ⸮⸮u⸮⸮⸮#95.36#  63#49232#49232#49120
Packet Sent:#199#Round Trip Time#281807#Encryption Time Sender#42#Encryption Time Sender#43#Message:#-⸮Ǖe⸮⸮⸮⸮߸oi#97.80#  59#49120#49232#49232
Packet Sent:#200#Round Trip Time#295413#Encryption Time Sender#50#Encryption Time Sender#44#Message:#nN4⸮⸮,ɂ⸮⸮ӛ(#103.0#  63#49232#49232#49232
